Strategy,Magic,Date,TimeOpen,TimeClose,Direction,EntryPrice,StopLoss,TakeProfit,ResultPoints,ResultR,MAE_Points,MFE_Points,SMA200_Trend,Breakout_Volume,Duration_Minutes,Spread_Entry,OpeningRangeSize,ATR,YesterdayRange,DistanceBreakout,Dist_VWAP,Dist_London_H,Dist_London_L,Dist_Yesterday_H,Dist_Yesterday_L,Consec_Candles,DayOfWeek,Month
Lnd_Continuacion,88101,2025.01.07,09:46,15:39,SHORT,21556.60,21656.60,21256.60,30005.0,3.00,6300.0,29999.0,ABOVE,299,353,100,2762.0,7.25,418.55,217.00,912.4,-14635.0,10682.0,-14635.0,27220.0,3,Tuesday,January
Lnd_Continuacion,88101,2025.01.08,10:02,11:31,LONG,21251.96,21151.96,21551.96,-10018.0,-1.00,9992.0,1115.0,BELOW,295,89,100,2721.0,6.69,520.52,321.00,2970.2,-36664.0,3596.0,-36664.0,15388.0,3,Wednesday,January
Lnd_Continuacion,88101,2025.01.09,09:38,23:00,LONG,21125.45,21025.45,21425.45,520.0,0.05,3617.0,3270.0,BELOW,341,802,100,2354.0,8.58,277.70,318.00,869.3,-13766.0,8683.0,-13766.0,14004.0,2,Thursday,January
Lnd_Continuacion,88101,2025.01.15,09:38,13:33,LONG,20790.62,20690.62,21090.62,30008.0,3.00,1962.0,29997.0,BELOW,147,235,100,2247.0,5.56,359.12,350.00,1065.3,-17907.0,12740.0,-18430.0,17482.0,1,Wednesday,January
Lnd_Continuacion,88101,2025.01.16,09:32,20:30,SHORT,21312.53,21412.53,21012.53,13947.0,1.39,4017.0,20569.0,ABOVE,439,658,100,5687.0,11.01,535.97,1077.00,2076.1,7505.0,54153.0,2887.0,56484.0,3,Thursday,January
Lnd_Continuacion,88101,2025.01.20,10:54,23:00,LONG,21480.03,21380.03,21780.03,5975.0,0.60,9600.0,14675.0,ABOVE,181,726,100,2237.0,4.59,90.50,188.00,4970.2,-4987.0,32200.0,1863.0,10913.0,1,Monday,January
Lnd_Continuacion,88101,2025.01.22,09:32,20:30,LONG,21755.96,21655.96,22055.96,10853.0,1.09,3618.0,18672.0,ABOVE,286,658,100,2188.0,6.45,445.75,714.00,5272.1,17206.0,37961.0,8556.0,53131.0,3,Wednesday,January
Lnd_Continuacion,88101,2025.01.27,09:32,10:50,SHORT,21050.40,21150.40,20750.40,30000.0,3.00,5388.0,29983.0,BELOW,1005,78,100,7737.0,18.75,136.38,288.00,-21318.6,-89325.0,-78510.0,-58138.0,-44500.0,3,Monday,January
Lnd_Continuacion,88101,2025.01.29,09:54,13:22,LONG,21553.87,21453.87,21853.87,-10001.0,-1.00,9993.0,1198.0,ABOVE,256,208,100,4765.0,8.26,466.55,158.00,5014.7,19691.0,51993.0,5338.0,51993.0,4,Wednesday,January
Lnd_Continuacion,88101,2025.02.03,10:04,11:03,SHORT,21049.78,21149.78,20749.78,-10007.0,-1.00,9990.0,375.0,BELOW,396,59,100,5938.0,15.13,251.75,287.00,6339.4,-80000.0,563.0,-3112.0,22063.0,2,Monday,February
Lnd_Continuacion,88101,2025.02.05,09:34,14:28,SHORT,21351.15,21451.15,21051.15,-10003.0,-1.00,9995.0,2523.0,BELOW,462,294,100,4748.0,9.98,449.07,115.00,-8163.3,-23127.0,10173.0,-23295.0,21612.0,3,Wednesday,February
Lnd_Continuacion,88101,2025.02.07,09:44,15:03,LONG,21766.53,21666.53,22066.53,-10005.0,-1.00,9999.0,10412.0,ABOVE,253,319,100,2575.0,6.56,176.60,163.00,238.6,1954.0,16551.0,-1109.0,16551.0,5,Friday,February
Lnd_Continuacion,88101,2025.02.10,10:06,20:30,LONG,21619.03,21519.03,21919.03,14774.0,1.48,2088.0,17775.0,ABOVE,186,624,100,2900.0,5.13,153.50,200.00,2841.7,-25162.0,10367.0,6013.0,21363.0,5,Monday,February
Lnd_Continuacion,88101,2025.02.13,09:42,20:30,LONG,21744.78,21644.78,22044.78,25047.0,2.50,4413.0,25924.0,ABOVE,244,648,100,7787.0,7.12,391.80,113.00,-2631.3,-1075.0,32593.0,-6587.0,32593.0,3,Thursday,February
Lnd_Continuacion,88101,2025.02.17,09:58,23:01,LONG,22166.78,22066.78,22466.78,-1313.0,-0.13,5588.0,2050.0,ABOVE,118,783,100,1912.0,5.12,30.62,213.00,166.4,7473.0,20463.0,2138.0,5200.0,3,Monday,February
Lnd_Continuacion,88101,2025.02.18,09:46,20:30,SHORT,22194.53,22294.53,21894.53,10272.0,1.03,4225.0,16771.0,ABOVE,243,644,100,2725.0,4.93,88.25,275.00,734.7,725.0,8363.0,-462.0,8363.0,1,Tuesday,February
Lnd_Continuacion,88101,2025.02.19,09:54,20:30,SHORT,22172.53,22272.53,21872.53,2933.0,0.29,5182.0,12863.0,ABOVE,155,636,100,2150.0,3.66,211.33,37.00,-1845.0,-6325.0,12513.0,-6462.0,14671.0,2,Wednesday,February
Lnd_Continuacion,88101,2025.02.20,09:54,14:52,LONG,22116.78,22016.78,22416.78,-10003.0,-1.00,9998.0,2950.0,ABOVE,157,298,100,1950.0,4.19,180.45,125.00,1785.7,-6325.0,7388.0,-10657.0,7388.0,2,Thursday,February
Lnd_Continuacion,88101,2025.02.21,09:34,15:00,LONG,22096.65,21996.65,22396.65,-10010.0,-1.00,9996.0,8050.0,ABOVE,209,326,100,2113.0,5.67,278.12,262.00,2247.1,-4963.0,22412.0,-5400.0,22412.0,2,Friday,February
Lnd_Continuacion,88101,2025.02.25,10:52,12:26,SHORT,21234.03,21334.03,20934.03,-10009.0,-1.00,9992.0,1075.0,BELOW,494,94,100,7975.0,9.68,443.38,562.00,-8806.1,-50475.0,63.0,-51200.0,-6862.0,3,Tuesday,February
Lnd_Continuacion,88101,2025.03.03,09:34,14:55,LONG,20942.03,20842.03,21242.03,-10004.0,-1.00,9997.0,13562.0,BELOW,352,321,100,5175.0,11.63,86.38,500.00,5132.2,21600.0,52938.0,-4725.0,3913.0,3,Monday,March
Lnd_Continuacion,88101,2025.03.04,09:42,15:00,SHORT,20451.28,20551.28,20151.28,30002.0,3.00,4237.0,29997.0,BELOW,512,318,100,5850.0,13.60,802.75,1362.00,-3091.9,-62637.0,-26662.0,-62637.0,17638.0,6,Tuesday,March
Lnd_Continuacion,88101,2025.03.05,09:34,11:53,LONG,20562.90,20462.90,20862.90,-10014.0,-1.00,9994.0,2513.0,BELOW,446,139,100,8188.0,12.38,659.43,162.00,6995.3,9175.0,53194.0,-12749.0,53194.0,2,Wednesday,March
Lnd_Continuacion,88101,2025.03.06,10:02,15:22,SHORT,20342.78,20442.78,20042.78,-10002.0,-1.00,9999.0,14850.0,BELOW,982,320,100,9475.0,18.13,507.54,1237.00,-15941.4,-23775.0,16411.0,-34343.0,16411.0,1,Thursday,March
Lnd_Continuacion,88101,2025.03.07,10:10,13:31,SHORT,20122.28,20222.28,19822.28,-10001.0,-1.00,9983.0,9488.0,BELOW,430,201,100,6887.0,9.34,643.94,50.00,-1823.0,-35525.0,175.0,-48925.0,15469.0,7,Friday,March
Lnd_Continuacion,88101,2025.03.10,09:34,11:56,LONG,19998.78,19898.78,20298.78,-10020.0,-1.00,9990.0,2737.0,BELOW,506,142,100,7400.0,13.64,179.38,175.00,-4353.9,-23487.0,26525.0,-8200.0,9738.0,3,Monday,March
Lnd_Continuacion,88101,2025.03.11,10:02,17:27,SHORT,19487.15,19587.15,19187.15,30002.0,3.00,9913.0,29998.0,BELOW,647,445,100,4925.0,12.86,922.87,1425.00,10741.0,-50763.0,450.0,-63825.0,28462.0,1,Tuesday,March
Lnd_Continuacion,88101,2025.03.13,09:38,13:45,LONG,19545.40,19445.40,19845.40,-10001.0,-1.00,9997.0,6738.0,BELOW,443,247,100,9737.0,11.80,398.88,500.00,5288.7,-21613.0,17542.0,-21613.0,18275.0,6,Thursday,March
Lnd_Continuacion,88101,2025.03.17,09:40,18:33,LONG,19619.65,19519.65,19919.65,30000.0,3.00,1325.0,29995.0,BELOW,378,533,100,2500.0,8.53,128.00,100.00,3339.6,-6820.0,23287.0,-4900.0,7900.0,2,Monday,March
Lnd_Continuacion,88101,2025.03.18,09:36,13:44,SHORT,19796.35,19896.35,19496.35,30004.0,3.00,375.0,29995.0,ABOVE,407,248,100,2387.0,6.91,399.88,38.00,2924.8,-4093.0,18995.0,-14718.0,25270.0,2,Tuesday,March
Lnd_Continuacion,88101,2025.03.20,09:34,14:26,SHORT,19768.60,19868.60,19468.60,-10002.0,-1.00,9996.0,24712.0,ABOVE,539,292,100,5900.0,10.09,476.99,1775.00,-7212.5,4741.0,27570.0,-15442.0,32257.0,5,Thursday,March
Lnd_Continuacion,88101,2025.03.24,09:32,13:39,SHORT,19988.78,20088.78,19688.78,-10002.0,-1.00,9999.0,1188.0,ABOVE,278,247,100,2562.0,6.17,57.75,375.00,4444.1,29716.0,58950.0,7788.0,13563.0,6,Monday,March
Lnd_Continuacion,88101,2025.03.25,09:36,20:30,LONG,20125.78,20025.78,20425.78,18386.0,1.84,713.0,18596.0,ABOVE,227,654,100,2800.0,6.92,311.96,338.00,-853.6,-4763.0,14575.0,-7896.0,23300.0,3,Tuesday,March
Lnd_Continuacion,88101,2025.03.26,09:56,16:57,SHORT,20236.65,20336.65,19936.65,30002.0,3.00,5475.0,29999.0,ABOVE,450,421,100,2275.0,6.48,239.37,638.00,-3922.5,-5405.0,11800.0,-9375.0,14562.0,2,Wednesday,March
Lnd_Continuacion,88101,2025.03.27,09:52,13:25,LONG,19930.93,19830.93,20230.93,-10000.0,-1.00,9993.0,1087.0,ABOVE,398,213,100,2863.0,7.99,526.85,425.00,3208.9,-35947.0,254.0,-40322.0,12363.0,4,Thursday,March
Lnd_Continuacion,88101,2025.03.28,09:36,14:00,LONG,19736.15,19636.15,20036.15,-10006.0,-1.00,9996.0,4400.0,BELOW,337,264,100,2050.0,6.95,259.38,337.00,-1012.3,-26578.0,-640.0,-26578.0,-640.0,2,Friday,March
Lnd_Continuacion,88101,2025.04.01,09:34,10:27,LONG,19326.03,19226.03,19626.03,-10004.0,-1.00,9993.0,1137.0,BELOW,394,53,100,2987.0,9.09,515.85,1138.00,11238.2,75.0,52788.0,1203.0,52788.0,4,Tuesday,April
Lnd_Continuacion,88101,2025.04.03,09:46,15:07,SHORT,18875.95,18975.95,18575.95,30004.0,3.00,2888.0,29998.0,BELOW,537,321,100,10288.0,16.35,1214.21,2775.00,-2875.0,-66424.0,387.0,-98759.0,22662.0,1,Thursday,April
Lnd_Continuacion,88101,2025.04.04,09:32,10:22,SHORT,18371.40,18471.40,18071.40,30010.0,3.00,7288.0,29994.0,BELOW,1068,50,100,5700.0,17.86,574.68,1188.00,-8216.9,-63518.0,100.0,-63518.0,-6050.0,5,Friday,April
Lnd_Continuacion,88101,2025.04.07,09:40,10:38,LONG,16764.53,16664.53,17064.53,30011.0,3.00,4913.0,29976.0,BELOW,608,58,100,14475.0,35.14,385.63,1625.00,12319.9,-167875.0,16100.0,5650.0,44213.0,4,Monday,April
Lnd_Continuacion,88101,2025.04.08,09:56,11:18,SHORT,17609.13,17709.13,17309.13,-10003.0,-1.00,9988.0,4975.0,BELOW,611,82,100,7788.0,19.01,1880.50,787.00,-4282.2,-61227.0,107485.0,-61227.0,126823.0,1,Tuesday,April
Lnd_Continuacion,88101,2025.04.09,09:44,11:00,SHORT,17152.13,17252.13,16852.13,30013.0,3.00,9025.0,29922.0,BELOW,366,76,100,11400.0,29.11,1473.50,75.00,22046.4,-106762.0,1600.0,-106762.0,40588.0,1,Wednesday,April
Lnd_Continuacion,88101,2025.04.10,09:36,12:41,LONG,18720.63,18620.63,19020.63,-10003.0,-1.00,9992.0,13212.0,ABOVE,629,185,100,11675.0,25.38,2627.00,413.00,-17546.1,-750.0,198151.0,-51150.0,211550.0,4,Thursday,April
Lnd_Continuacion,88101,2025.04.11,09:34,13:13,LONG,18326.38,18226.38,18626.38,-10012.0,-1.00,9996.0,23762.0,ABOVE,848,219,100,10275.0,33.60,1398.96,275.00,-1477.9,-52637.0,20922.0,-85762.0,54134.0,2,Friday,April
