Date,TimeOpen,TimeClose,Direction,EntryPrice,StopLoss,TakeProfit,ResultPoints,ResultR,MAE_Points,MFE_Points,SMA200_Trend,Breakout_Volume,Duration_Minutes,Spread_Entry,OpeningRangeSize,ATR,YesterdayRange,DistanceBreakout,Dist_VWAP,Dist_London_H,Dist_London_L,Dist_Yesterday_H,Dist_Yesterday_L,Consec_Candles,DayOfWeek,Month
2025.01.02,16:36,17:30,SHORT,21110.50,21170.50,20930.50,18002.0,3.00,4445.0,15482.0,BELOW,2644,54,100,7425.0,29.40,75.50,-8320.00,-483.0,-17565.0,14760.0,-115.0,7435.0,2,Thursday,January
2025.01.03,16:34,18:30,SHORT,21246.37,21306.37,21066.37,-6002.0,-1.00,5846.0,0.0,BELOW,2236,116,100,7285.0,19.09,494.43,-8984.00,11673.9,-845.0,28347.0,-3978.0,45465.0,1,Friday,January
2025.01.06,16:48,17:41,LONG,21660.04,21600.04,21840.04,-6004.0,-1.00,4675.0,890.0,ABOVE,1839,53,100,3601.0,12.48,40.87,-3701.00,8936.6,-4291.0,59444.0,31189.0,35276.0,3,Monday,January
2025.01.07,16:52,17:46,LONG,21279.42,21219.42,21459.42,-6006.0,-1.00,4903.0,143.0,BELOW,3477,54,100,7396.0,32.46,418.55,-11015.00,-15632.9,-42353.0,6342.0,-42353.0,-498.0,2,Tuesday,January
2025.01.08,16:38,17:28,SHORT,21207.97,21267.97,21027.97,18005.0,3.00,1209.0,16712.0,BELOW,2358,50,100,5252.0,20.27,520.52,-7568.00,5136.1,-40107.0,16935.0,-41063.0,10989.0,4,Wednesday,January
2025.01.10,16:38,18:23,LONG,20742.38,20682.38,20922.38,18001.0,3.00,923.0,16618.0,BELOW,2969,105,100,4979.0,25.89,127.73,-6973.00,-17706.1,-45990.0,3221.0,-42376.0,-29603.0,3,Friday,January
2025.01.13,16:36,17:37,SHORT,20638.40,20698.40,20458.40,-6001.0,-1.00,5273.0,7713.0,BELOW,2724,61,100,3484.0,20.15,84.38,-5797.00,343.7,-35963.0,10087.0,-22163.0,-13725.0,3,Monday,January
2025.01.14,16:42,17:35,LONG,20704.63,20644.63,20884.63,-6004.0,-1.00,5043.0,680.0,BELOW,3254,53,100,6531.0,24.97,391.90,-9151.00,-15032.4,-26506.0,15254.0,-21442.0,17748.0,3,Tuesday,January
2025.01.15,16:32,07:10,LONG,21129.24,21069.24,21309.24,18016.0,3.00,4410.0,16896.0,ABOVE,3391,878,100,4634.0,23.35,359.12,-7122.00,4682.0,-10824.0,46602.0,15432.0,51344.0,2,Wednesday,January
2025.01.16,16:36,18:36,LONG,21215.50,21155.50,21395.50,-6006.0,-1.00,4555.0,4742.0,ABOVE,3393,120,100,6535.0,24.98,535.97,-7913.00,-4727.4,-13620.0,13513.0,-6816.0,46781.0,2,Thursday,January
2025.01.17,17:02,14:40,LONG,21422.16,21362.16,21602.16,18003.0,3.00,4663.0,17587.0,ABOVE,2523,4178,100,5729.0,13.61,384.41,-6076.00,7600.0,-10774.0,26413.0,2328.0,40769.0,3,Friday,January
2025.01.20,16:32,00:53,SHORT,21565.03,21625.03,21385.03,18035.0,3.01,2675.0,9825.0,ABOVE,841,501,100,2475.0,11.12,90.50,-2713.00,6646.9,-6175.0,23630.0,10363.0,19413.0,1,Monday,January
2025.01.21,16:38,23:00,LONG,21464.78,21404.78,21644.78,19297.0,3.22,264.0,16018.0,ABOVE,2741,382,100,3802.0,15.05,247.13,-4117.00,-1616.4,-16200.0,8843.0,-16200.0,8513.0,1,Tuesday,January
